,available,code,image,link,name,num_merchants,num_reviews,price,region,snoothrank,tags,type,varietal,vintage,winery,winery_id
16,1,luna-di-luna-valpolicella-classico-ripasso-private-collection-2010-1,http://ei.isnooth.com/multimedia/4/e/e/image_3431123_square.jpeg,http://www.snooth.com/wine/luna-di-luna-valpolicella-classico-ripasso-private-collection-2010-1/,Luna di Luna Valpolicella Classico Ripasso Private Collection,10,0,18.59,France > Rhône > Southern Rhône > Côtes du Rhône Villages,n/a,,Red Wine,,2010,Luna Di Luna,luna-di-luna
17,1,barbaresco-docg-coste-rubin-2006-1,http://ei.isnooth.com/multimedia/e/7/b/image_687431_square.jpeg,http://www.snooth.com/wine/barbaresco-docg-coste-rubin-2006-1/,Barbaresco DOCG Coste Rubin,2,2,66.95,Italy > Piemonte > Barbaresco,3.5,,Red Wine,Nebbiolo,2006,The Rubin Cellar,the-rubin-cellar
18,1,il-palazzone-rosso-del-palazzone-nv,http://ei.isnooth.com/multimedia/d/4/7/image_1104735_square.jpeg,http://www.snooth.com/wine/il-palazzone-rosso-del-palazzone-nv/,Il Palazzone Rosso del Palazzone,2,3,26.99,Italy > Tuscany > Montalcino,3.5,,Red Wine,Sangiovese,NV,Il Palazzone,il-palazzone
19,1,jewel-box-garnet-red-blend-2012,http://ei.isnooth.com/multimedia/b/2/6/image_3757097_square.jpeg,http://www.snooth.com/wine/jewel-box-garnet-red-blend-2012/,Jewel Box Garnet Red Blend,20,0,24.99,USA > California,n/a,,Red Wine,,2012,Jewel box Wines,jewel-box-wines
20,1,la-merika-central-coast-pinot-noir-2011-4,http://ei.isnooth.com/multimedia/9/c/8/image_3594609_square.jpeg,http://www.snooth.com/wine/la-merika-central-coast-pinot-noir-2011-4/,La Merika Central Coast Pinot Noir,112,3,10.99,USA > California > Central Coast,3.5,,Red Wine,Pinot Noir,2011,Delicato Family Vineyards,delicato-family-vineyards
21,1,unruly-zinfandel-2010-2,http://ei.isnooth.com/multimedia/d/5/3/image_2737683_square.jpeg,http://www.snooth.com/wine/unruly-zinfandel-2010-2/,Unruly Zinfandel,112,3,11.95,USA > California,2.5,,Red Wine,Zinfandel,2010,Unruly,unruly
22,1,hannah-nicole-vineyards-cabernet-sauvignon-contra-costa-county-2009,http://ei.isnooth.com/multimedia/0/7/4/image_175317_square.jpeg,http://www.snooth.com/wine/hannah-nicole-vineyards-cabernet-sauvignon-contra-costa-county-2009/,Hannah Nicole Vineyards Cabernet Sauvignon Contra Costa County,112,2,17.99,USA > California > Contra Costa,n/a,,Red Wine,Cabernet Sauvignon,2009,Hannah Nicole Vineyards & Winery,hannah-nicole-vineyards-and-winery
23,1,nottingham-cellars-alpha-red-nv,http://ei.isnooth.com/multimedia/c/6/f/image_3559577_square.jpeg,http://www.snooth.com/wine/nottingham-cellars-alpha-red-nv/,Nottingham Cellars Alpha Red,112,1,15.99,USA > California,n/a,,Red Wine,"Cabernet Sauvignon, Petite Sirah, Petit Verdot, Cabernet Franc",NV,Nottingham Cellars,nottingham-cellars
24,1,pavilion-cabernet-sauvignon-napa-valley-2010,http://ei.isnooth.com/multimedia/e/1/5/image_1960028_square.jpeg,http://www.snooth.com/wine/pavilion-cabernet-sauvignon-napa-valley-2010/,Pavilion Cabernet Sauvignon Napa Valley,113,1,16.99,USA > California > Napa,n/a,,Red Wine,Cabernet Sauvignon,2010,Pavilion WInery,pavilion-winery
25,1,cliff-lede-napa-stags-cabernet-sauvignon-2008,http://ei.isnooth.com/multimedia/1/f/2/image_1932245_square.jpeg,http://www.snooth.com/wine/cliff-lede-napa-stags-cabernet-sauvignon-2008/,Cliff Lede Napa Stags Cabernet Sauvignon,113,3,60.99,USA > California > Napa,3.5,,Red Wine,Cabernet Sauvignon,2008,Cliff Lede Vineyards,cliff-lede-vineyards
26,1,navarro-lopez-old-vine-gran-reserva-2004,http://ei.isnooth.com/multimedia/b/3/9/image_1711784_square.jpeg,http://www.snooth.com/wine/navarro-lopez-old-vine-gran-reserva-2004/,Navarro Lopez Old Vine Gran Reserva,112,2,14.95,Spain,3,,,Tempranillo,2004,Navarro López,navarro-lopez
